,Model,Displ,Cyl,Trans,Drive,Fuel,Region,Stnd,Description,ID,Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
72,AUDI A5,2.0,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAJ02.0AAC,small car,3,24,32,27,6,No,329
73,AUDI A5,2.0,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAJ02.0AAC,small car,3,24,32,27,6,No,329
74,AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAJ02.0AAC,small car,3,23,31,26,5,No,337
75,AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAJ02.0AAC,small car,3,23,31,26,5,No,337
76,AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAJ02.0AAC,midsize car,3,24,32,27,6,No,329
77,AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAJ02.0AAC,midsize car,3,24,32,27,6,No,329
78,AUDI A6,2.0,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAV02.0A7M,midsize car,5,24,32,27,6,No,329
79,AUDI A6,2.0,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAV02.0A7M,midsize car,5,24,32,27,6,No,329
80,AUDI A6,3.0,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAV03.0N7N,midsize car,5,22,29,24,5,No,364
81,AUDI A6,3.0,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAV03.0N7N,midsize car,5,22,29,24,5,No,364
82,AUDI A6 Allroad,3.0,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAV03.0N7N,station wagon,5,20,26,22,4,No,398
83,AUDI A6 Allroad,3.0,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAV03.0N7N,station wagon,5,20,26,22,4,No,398
84,AUDI A7,3.0,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAV03.0N7N,midsize car,5,22,29,24,5,No,364
85,AUDI A7,3.0,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAV03.0N7N,midsize car,5,22,29,24,5,No,364
86,AUDI A8 L,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAV03.0N7R,large car,5,17,26,21,4,No,430
87,AUDI A8 L,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAV03.0N7R,large car,5,17,26,21,4,No,430
90,AUDI A8 L,4.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAJ04.0NAT,large car,3,15,23,18,3,No,495
91,AUDI A8 L,4.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAJ04.0NAT,large car,3,15,23,18,3,No,495
92,AUDI Q3,2.0,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LVGAJ02.0A3T,small SUV,7,19,27,22,4,No,399
93,AUDI Q3,2.0,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LVGAJ02.0A3T,small SUV,7,19,27,22,4,No,399
96,AUDI Q5,2.0,4,SemiAuto-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAT02.0A7C,small SUV,5,22,28,24,5,No,364
97,AUDI Q5,2.0,4,SemiAuto-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAT02.0A7C,small SUV,5,22,28,24,5,No,364
98,AUDI Q7,2.0,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAT02.0AA7,standard SUV,3,19,23,21,4,No,425
99,AUDI Q7,2.0,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAT02.0AA7,standard SUV,3,19,23,21,4,No,425
100,AUDI Q7,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAT03.0N7M,standard SUV,5,17,21,18,3,No,479
101,AUDI Q7,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAT03.0N7M,standard SUV,5,17,21,18,3,No,479
102,AUDI Q8,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAT03.0NAM,standard SUV,3,17,21,18,3,No,479
103,AUDI Q8,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAT03.0NAM,standard SUV,3,17,21,18,3,No,479
104,AUDI R8,5.2,10,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LVGAV05.2NBE,small car,1,13,20,16,2,No,556
105,AUDI R8,5.2,10,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LVGAV05.2NBE,small car,1,13,20,16,2,No,556
106,AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LVGAV05.2NBE,small car,1,13,20,16,2,No,556
107,AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LVGAV05.2NBE,small car,1,13,20,16,2,No,556
108,AUDI RS Q8,4.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAJ04.0NAT,standard SUV,3,13,19,15,2,No,579
