,Model,Displ,Cyl,Trans,Drive,Fuel,Region,Stnd,Description,ID,Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
1190,INFINITI Q60,3.0,6,SemiAuto-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LNSXV03.0NHA,small car,3,19,28,22,4,No,397
1191,INFINITI Q60,3.0,6,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LNSXV03.0NHA,small car,3,19,28,22,4,No,397
1192,INFINITI Q60,3.0,6,SemiAuto-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LNSXV03.0NHA,small car,3,19,27,22,4,No,409
1193,INFINITI Q60,3.0,6,SemiAuto-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LNSXV03.0NHA,small car,3,19,27,22,4,No,409
1194,INFINITI Q60 Red Sport,3.0,6,SemiAuto-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LNSXV03.0NHA,small car,3,20,27,22,4,No,405
1195,INFINITI Q60 Red Sport,3.0,6,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LNSXV03.0NHA,small car,3,20,27,22,4,No,405
1196,INFINITI Q60 Red Sport,3.0,6,SemiAuto-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LNSXV03.0NHA,small car,3,19,26,21,4,No,424
1197,INFINITI Q60 Red Sport,3.0,6,SemiAuto-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LNSXV03.0NHA,small car,3,19,26,21,4,No,424
1198,INFINITI QX50,2.0,4,SCV-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LNSXT02.0PVA,small SUV,5,23,29,26,5,No,346
1199,INFINITI QX50,2.0,4,SCV-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LNSXT02.0PVA,small SUV,5,23,29,26,5,No,346
1200,INFINITI QX50,2.0,4,SCV-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LNSXT02.0PVA,small SUV,5,22,28,25,5,No,365
1201,INFINITI QX50,2.0,4,SCV-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LNSXT02.0PVA,small SUV,5,22,28,25,5,No,365
1202,INFINITI QX60,3.5,6,SCV-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LNSXT03.5P7A,small SUV,5,20,27,22,4,No,399
1203,INFINITI QX60,3.5,6,SCV-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LNSXT03.5P7A,small SUV,5,20,27,22,4,No,399
1204,INFINITI QX60,3.5,6,SCV-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LNSXT03.5P7A,small SUV,5,19,26,22,4,No,410
1205,INFINITI QX60,3.5,6,SCV-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LNSXT03.5P7A,small SUV,5,19,26,22,4,No,410
1206,INFINITI QX80,5.6,8,SemiAuto-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LNSXT05.6N9C,standard SUV,3,14,20,16,2,No,551
1207,INFINITI QX80,5.6,8,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LNSXT05.6N9C,standard SUV,3,14,20,16,2,No,551
1208,INFINITI QX80,5.6,8,SemiAuto-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LNSXT05.6N9B,standard SUV,3,13,19,15,2,No,579
1209,INFINITI QX80,5.6,8,SemiAuto-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LNSXT05.6N9B,standard SUV,3,13,19,15,2,No,579
1210,JAGUAR E-Pace,2.0,4,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXT02.0RTV,small SUV,7,21,28,24,5,No,371
1211,JAGUAR E-Pace,2.0,4,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXT02.0RTV,small SUV,7,21,28,24,5,No,371
1212,JAGUAR E-Pace P300,2.0,4,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXT02.0RTV,small SUV,7,21,27,23,5,No,379
1213,JAGUAR E-Pace P300,2.0,4,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXT02.0RTV,small SUV,7,21,27,23,5,No,379
1214,JAGUAR F-Pace,2.0,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small SUV,7,22,27,24,5,No,365
1215,JAGUAR F-Pace,2.0,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small SUV,7,22,27,24,5,No,365
1216,JAGUAR F-Pace,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,small SUV,7,18,23,20,4,No,446
1217,JAGUAR F-Pace,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,small SUV,7,18,23,20,4,No,446
1218,JAGUAR F-Pace,5.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXJ05.0FSM,small SUV,3,16,21,18,3,No,488
1219,JAGUAR F-Pace,5.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXJ05.0FSM,small SUV,3,16,21,18,3,No,488
1220,JAGUAR F-Pace 30t,2.0,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small SUV,7,22,27,24,5,No,373
1221,JAGUAR F-Pace 30t,2.0,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small SUV,7,22,27,24,5,No,373
1222,JAGUAR F-Type Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small car,7,23,30,26,5,No,346
1223,JAGUAR F-Type Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small car,7,23,30,26,5,No,346
1224,JAGUAR F-Type Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,small car,7,20,28,23,5,No,390
1225,JAGUAR F-Type Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,small car,7,20,28,23,5,No,390
1226,JAGUAR F-Type Convertible,5.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXJ05.0FSM,small car,3,16,24,18,3,No,481
1227,JAGUAR F-Type Convertible,5.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXJ05.0FSM,small car,3,16,24,18,3,No,481
1228,JAGUAR F-Type Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small car,7,23,30,26,5,No,346
1229,JAGUAR F-Type Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small car,7,23,30,26,5,No,346
1230,JAGUAR F-Type Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,small car,7,20,28,23,5,No,390
1231,JAGUAR F-Type Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,small car,7,20,28,23,5,No,390
1232,JAGUAR F-Type Coupe,5.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXJ05.0FSM,small car,3,16,24,18,3,No,481
1233,JAGUAR F-Type Coupe,5.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXJ05.0FSM,small car,3,16,24,18,3,No,481
1234,JAGUAR F-Type S Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,small car,7,19,27,22,4,No,407
1235,JAGUAR F-Type S Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,small car,7,19,27,22,4,No,407
1236,JAGUAR F-Type S Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,small car,7,18,26,21,4,No,426
1237,JAGUAR F-Type S Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,small car,7,18,26,21,4,No,426
1238,JAGUAR F-Type S Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,small car,7,19,27,22,4,No,407
1239,JAGUAR F-Type S Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,small car,7,19,27,22,4,No,407
1240,JAGUAR F-Type S Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,small car,7,18,26,21,4,No,426
1241,JAGUAR F-Type S Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,small car,7,18,26,21,4,No,426
1242,JAGUAR F-Type SVR Convertible,5.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXJ05.0FSM,small car,3,16,24,18,3,No,481
1243,JAGUAR F-Type SVR Convertible,5.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXJ05.0FSM,small car,3,16,24,18,3,No,481
1244,JAGUAR F-Type SVR Coupe,5.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXJ05.0FSM,small car,3,16,24,18,3,No,481
1245,JAGUAR F-Type SVR Coupe,5.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXJ05.0FSM,small car,3,16,24,18,3,No,481
1246,JAGUAR XE,2.0,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small car,7,25,34,28,6,No,312
1247,JAGUAR XE,2.0,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small car,7,25,34,28,6,No,312
1248,JAGUAR XE,2.0,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small car,7,24,34,28,6,No,321
1249,JAGUAR XE,2.0,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small car,7,24,34,28,6,No,321
1250,JAGUAR XE 30t,2.0,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small car,7,24,32,27,6,No,333
1251,JAGUAR XE 30t,2.0,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small car,7,24,32,27,6,No,333
1252,JAGUAR XE 30t,2.0,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small car,7,22,30,25,5,No,354
1253,JAGUAR XE 30t,2.0,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small car,7,22,30,25,5,No,354
1254,JAGUAR XF,2.0,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,midsize car,7,25,34,28,6,No,312
1255,JAGUAR XF,2.0,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,midsize car,7,25,34,28,6,No,312
1256,JAGUAR XF,2.0,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,midsize car,7,23,33,27,6,No,333
1257,JAGUAR XF,2.0,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,midsize car,7,23,33,27,6,No,333
1258,JAGUAR XF,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,midsize car,7,20,28,23,5,No,390
1259,JAGUAR XF,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,midsize car,7,20,28,23,5,No,390
1260,JAGUAR XF 30t,2.0,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,midsize car,7,23,31,26,5,No,335
1261,JAGUAR XF 30t,2.0,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,midsize car,7,23,31,26,5,No,335
1262,JAGUAR XF 30t,2.0,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,midsize car,7,22,31,25,5,No,349
1263,JAGUAR XF 30t,2.0,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,midsize car,7,22,31,25,5,No,349
1264,JAGUAR XF Sportbrake,2.0,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,station wagon,7,21,28,24,5,No,370
1265,JAGUAR XF Sportbrake,2.0,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,station wagon,7,21,28,24,5,No,370
1266,JAGUAR XF Sportbrake,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,station wagon,7,18,25,21,4,No,428
1267,JAGUAR XF Sportbrake,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,station wagon,7,18,25,21,4,No,428
1268,JEEP Cherokee,2.0,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT02.05P0,small SUV,5,23,31,26,5,No,345
1269,JEEP Cherokee,2.0,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT02.05P0,small SUV,5,23,31,26,5,No,345
1270,JEEP Cherokee,2.0,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT02.05P0,small SUV,5,21,29,24,5,No,369
1271,JEEP Cherokee,2.0,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT02.05P0,small SUV,5,21,29,24,5,No,369
1272,JEEP Cherokee,2.4,4,Auto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LCRXT02.45P1,small SUV,6,22,31,25,5,No,352
1273,JEEP Cherokee,2.4,4,Auto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LCRXT02.45P1,small SUV,6,22,31,25,5,No,352
1274,JEEP Cherokee,2.4,4,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LCRXT02.45P1,small SUV,6,21,29,24,5,No,370
1275,JEEP Cherokee,2.4,4,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LCRXT02.45P1,small SUV,6,21,29,24,5,No,370
1276,JEEP Cherokee,3.2,6,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.25P0,small SUV,5,20,29,23,5,No,387
1277,JEEP Cherokee,3.2,6,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.25P0,small SUV,5,20,29,23,5,No,387
1278,JEEP Cherokee,3.2,6,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.25P0,small SUV,5,19,27,22,4,No,400
1279,JEEP Cherokee,3.2,6,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.25P0,small SUV,5,19,27,22,4,No,400
1280,JEEP Cherokee 4x4 Active Drive II,2.0,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT02.05P0,small SUV,5,20,27,23,5,No,387
1281,JEEP Cherokee 4x4 Active Drive II,2.0,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT02.05P0,small SUV,5,20,27,23,5,No,387
1282,JEEP Cherokee 4x4 Active Drive II,3.2,6,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.25P0,small SUV,5,18,26,21,4,No,416
1283,JEEP Cherokee 4x4 Active Drive II,3.2,6,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.25P0,small SUV,5,18,26,21,4,No,416
1284,JEEP Cherokee Trailhawk,2.0,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT02.05P0,small SUV,5,20,26,22,4,No,400
1285,JEEP Cherokee Trailhawk,2.0,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT02.05P0,small SUV,5,20,26,22,4,No,400
1286,JEEP Cherokee Trailhawk,3.2,6,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.25P0,small SUV,5,18,24,21,4,No,432
1287,JEEP Cherokee Trailhawk,3.2,6,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.25P0,small SUV,5,18,24,21,4,No,432
1288,JEEP Compass,2.4,4,Auto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LCRXT02.45P1,small SUV,6,22,31,25,5,No,350
1289,JEEP Compass,2.4,4,Auto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LCRXT02.45P1,small SUV,6,22,31,25,5,No,350
1290,JEEP Compass,2.4,4,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LCRXT02.45P1,small SUV,6,22,30,25,5,No,358
1291,JEEP Compass,2.4,4,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LCRXT02.45P1,small SUV,6,22,30,25,5,No,358
1292,JEEP Compass,2.4,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXT02.45P0,small SUV,3,23,32,26,5,No,339
1293,JEEP Compass,2.4,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXT02.45P0,small SUV,3,23,32,26,5,No,339
1294,JEEP Compass,2.4,4,Man-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXT02.45P0,small SUV,3,22,31,25,5,No,355
1295,JEEP Compass,2.4,4,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXT02.45P0,small SUV,3,22,31,25,5,No,355
1296,JEEP Gladiator,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.65P0,pickup,5,17,22,19,3,No,466
1297,JEEP Gladiator,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.65P0,pickup,5,17,22,19,3,No,466
1298,JEEP Gladiator,3.6,6,Man-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.65P0,pickup,5,16,23,19,3,No,476
1299,JEEP Gladiator,3.6,6,Man-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.65P0,pickup,5,16,23,19,3,No,476
1300,JEEP Grand Cherokee,3.6,6,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LCRXT03.65P5,standard SUV,7,19,26,21,4,No,414
1301,JEEP Grand Cherokee,3.6,6,Auto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LCRXT03.65P5,standard SUV,7,19,26,21,4,No,414
1302,JEEP Grand Cherokee,3.6,6,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LCRXT03.65P5,standard SUV,7,18,25,21,4,No,427
1303,JEEP Grand Cherokee,3.6,6,Auto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LCRXT03.65P5,standard SUV,7,18,25,21,4,No,427
1304,JEEP Grand Cherokee,5.7,8,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXT05.75P5,standard SUV,3,14,22,17,3,No,533
1305,JEEP Grand Cherokee,5.7,8,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXT05.75P5,standard SUV,3,14,22,17,3,No,533
1306,JEEP Grand Cherokee SRT,6.4,8,Auto-8,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXT06.45P1,standard SUV,1,13,19,15,2,No,592
1307,JEEP Grand Cherokee SRT,6.4,8,Auto-8,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXT06.45P1,standard SUV,1,13,19,15,2,No,592
1308,JEEP Grand Cherokee Trackhawk,6.2,8,Auto-8,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXT06.25P1,standard SUV,1,11,17,13,1,No,664
1309,JEEP Grand Cherokee Trackhawk,6.2,8,Auto-8,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXT06.25P1,standard SUV,1,11,17,13,1,No,664
1310,JEEP Renegade,1.3,4,Auto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LCRXT01.35P0,small SUV,6,24,32,27,6,No,328
1311,JEEP Renegade,1.3,4,Auto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LCRXT01.35P0,small SUV,6,24,32,27,6,No,328
1312,JEEP Renegade,1.3,4,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LCRXT01.35P0,small SUV,6,23,29,26,5,No,348
1313,JEEP Renegade,1.3,4,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LCRXT01.35P0,small SUV,6,23,29,26,5,No,348
1314,JEEP Renegade,2.4,4,Auto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LCRXT02.45P1,small SUV,6,22,30,25,5,No,357
1315,JEEP Renegade,2.4,4,Auto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LCRXT02.45P1,small SUV,6,22,30,25,5,No,357
1316,JEEP Renegade,2.4,4,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LCRXT02.45P1,small SUV,6,21,29,24,5,No,371
1317,JEEP Renegade,2.4,4,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LCRXT02.45P1,small SUV,6,21,29,24,5,No,371
1318,JEEP Renegade Trailhawk,1.3,4,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LCRXT01.35P0,small SUV,6,22,27,24,5,No,370
1319,JEEP Renegade Trailhawk,1.3,4,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LCRXT01.35P0,small SUV,6,22,27,24,5,No,370
1320,JEEP Wrangler,2.0,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT02.05P1,small SUV,5,21,22,21,4,No,414
1321,JEEP Wrangler,2.0,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT02.05P1,small SUV,5,21,22,21,4,No,414
1322,JEEP Wrangler,2.0,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT02.05P3,small SUV,5,22,24,23,5,No,388
1323,JEEP Wrangler,2.0,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT02.05P3,small SUV,5,22,24,23,5,No,388
1324,JEEP Wrangler,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.65P0,small SUV,5,18,23,20,4,No,440
1325,JEEP Wrangler,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.65P0,small SUV,5,18,23,20,4,No,440
1326,JEEP Wrangler,3.6,6,Man-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.65P0,small SUV,5,17,25,20,4,No,446
1327,JEEP Wrangler,3.6,6,Man-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.65P0,small SUV,5,17,25,20,4,No,446
1328,JEEP Wrangler Unlimited,2.0,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT02.05P1,small SUV,5,21,22,21,4,No,414
1329,JEEP Wrangler Unlimited,2.0,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT02.05P1,small SUV,5,21,22,21,4,No,414
1330,JEEP Wrangler Unlimited,2.0,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT02.05P3,small SUV,5,21,22,21,4,No,423
1331,JEEP Wrangler Unlimited,2.0,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT02.05P3,small SUV,5,21,22,21,4,No,423
1332,JEEP Wrangler Unlimited,3.0,6,Auto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,LCRXT03.05PW,small SUV,1,22,29,25,4,No,411
1333,JEEP Wrangler Unlimited,3.0,6,Auto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,LCRXT03.05PW,small SUV,1,22,29,25,4,No,411
1334,JEEP Wrangler Unlimited,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.65P0,small SUV,5,18,22,20,4,No,451
1335,JEEP Wrangler Unlimited,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.65P0,small SUV,5,18,22,20,4,No,451
1336,JEEP Wrangler Unlimited,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.65P7,small SUV,5,19,22,20,4,No,444
1337,JEEP Wrangler Unlimited,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.65P7,small SUV,5,19,22,20,4,No,444
1338,JEEP Wrangler Unlimited,3.6,6,Man-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LCRXT03.65P0,small SUV,5,17,23,19,3,No,459
1339,JEEP Wrangler Unlimited,3.6,6,Man-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LCRXT03.65P0,small SUV,5,17,23,19,3,No,459
